Park Name,Category,Scientific Name,Common Names,Observations,T&E
Bryce Canyon National Park,Mammal,Antilocapra americana,Pronghorn,,
Bryce Canyon National Park,Mammal,Oreamnos americanus,Mountain Goat,,
Bryce Canyon National Park,Mammal,Ovis canadensis,Bighorn Sheep,,SC
Bryce Canyon National Park,Mammal,Cervus canadensis,Elk,,
Bryce Canyon National Park,Mammal,Odocoileus hemionus,Mule Deer,,
Bryce Canyon National Park,Mammal,Canis latrans,Coyote,,SC
Bryce Canyon National Park,Mammal,Urocyon cinereoargenteus,Common Gray Fox,,
Bryce Canyon National Park,Mammal,Vulpes macrotis,Kit Fox,,
Bryce Canyon National Park,Mammal,Vulpes vulpes,Red Fox,,
Bryce Canyon National Park,Mammal,Lynx canadensis,Canada Lynx,1,T
Bryce Canyon National Park,Mammal,Puma concolor,Mountain Lion,,
Bryce Canyon National Park,Mammal,Mephitis mephitis,Striped Skunk,,
Bryce Canyon National Park,Mammal,Spilogale gracilis,Western Spotted Skunk,,
Bryce Canyon National Park,Mammal,Mustela erminea,Ermine,,
Bryce Canyon National Park,Mammal,Mustela frenata,Long-Tailed Weasel,,
Bryce Canyon National Park,Mammal,Taxidea taxus,American Badger,,SC
Bryce Canyon National Park,Mammal,Bassariscus astutus,Ringtail,,SC
Bryce Canyon National Park,Mammal,Procyon lotor,Northern Raccoon,,
Bryce Canyon National Park,Mammal,Ursus americanus,American Black Bear,,
Bryce Canyon National Park,Mammal,Nyctinomops macrotis,Big Free-Tailed Bat,,SC
Bryce Canyon National Park,Mammal,Tadarida brasiliensis,Brazilian Free-Tailed Bat,,
Bryce Canyon National Park,Mammal,Antrozous pallidus,Pallid Bat,,SC
Bryce Canyon National Park,Mammal,Corynorhinus townsendii,Townsend'S Big-Eared Bat,,
Bryce Canyon National Park,Mammal,Eptesicus fuscus,Big Brown Bat,,SC
Bryce Canyon National Park,Mammal,Euderma maculatum,Spotted Bat,,SC
Bryce Canyon National Park,Mammal,Idionycteris phyllotis,Allen'S Big-Eared Bat,,SC
Bryce Canyon National Park,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,,SC
Bryce Canyon National Park,Mammal,Myotis californicus,California Myotis,,SC
Bryce Canyon National Park,Mammal,Myotis ciliolabrum,Western Small-Footed Myotis,,
Bryce Canyon National Park,Mammal,Myotis evotis,Long-Eared Myotis,,SC
Bryce Canyon National Park,Mammal,Myotis thysanodes,Fringed Myotis,,SC
Bryce Canyon National Park,Mammal,Myotis volans,Long-Legged Myotis,,SC
Bryce Canyon National Park,Mammal,Myotis yumanensis,Yuma Myotis,,SC
Bryce Canyon National Park,Mammal,Pipistrellus hesperus,Western Pipistrelle,,SC
Bryce Canyon National Park,Mammal,Lepus americanus,Snowshoe Hare,,
Bryce Canyon National Park,Mammal,Lepus californicus,Black-Tailed Jackrabbit,,
Bryce Canyon National Park,Mammal,Lepus townsendii,White-Tailed Jackrabbit,,
Bryce Canyon National Park,Mammal,Sylvilagus audubonii,Desert Cottontail,,
Bryce Canyon National Park,Mammal,Sylvilagus nuttallii,Mountain Cottontail,,
Bryce Canyon National Park,Mammal,Castor canadensis,American Beaver,,
Bryce Canyon National Park,Mammal,Lemmiscus curtatus,Sagebrush Vole,,
Bryce Canyon National Park,Mammal,Microtus longicaudus,Long-Tailed Vole,,
Bryce Canyon National Park,Mammal,Microtus montanus,Montane Vole,,
Bryce Canyon National Park,Mammal,Neotoma cinerea,Bushy-Tailed Woodrat,,
Bryce Canyon National Park,Mammal,Neotoma lepida,Desert Woodrat,,
Bryce Canyon National Park,Mammal,Ondatra zibethicus,Common Muskrat,,
Bryce Canyon National Park,Mammal,Onychomys leucogaster,Northern Grasshopper Mouse,,
Bryce Canyon National Park,Mammal,Peromyscus boylii,Brush Mouse,,
Bryce Canyon National Park,Mammal,Peromyscus crinitus,Canyon Mouse,,
Bryce Canyon National Park,Mammal,Peromyscus maniculatus,Deer Mouse,,
Bryce Canyon National Park,Mammal,Peromyscus truei,Pinon Mouse,,
Bryce Canyon National Park,Mammal,Reithrodontomys megalotis,Western Harvest Mouse,,
Bryce Canyon National Park,Mammal,Erethizon dorsatum,North American Porcupine,,
Bryce Canyon National Park,Mammal,Thomomys talpoides,Northern Pocket Gopher,,
Bryce Canyon National Park,Mammal,Dipodomys ordii,Ord'S Kangaroo Rat,,
Bryce Canyon National Park,Mammal,Perognathus parvus,Great Basin Pocket Mouse,,
Bryce Canyon National Park,Mammal,Mus musculus,House Mouse,,
Bryce Canyon National Park,Mammal,Ammospermophilus leucurus,White-Tailed Antelope Squirrel,,
Bryce Canyon National Park,Mammal,Cynomys parvidens,Utah Prairie Dog,,T
Bryce Canyon National Park,Mammal,Glaucomys sabrinus,Northern Flying Squirrel,,
Bryce Canyon National Park,Mammal,Marmota flaviventris,Yellow-Bellied Marmot,,
Bryce Canyon National Park,Mammal,Neotamias dorsalis,Cliff Chipmunk,,
Bryce Canyon National Park,Mammal,Neotamias minimus,Least Chipmunk,,
Bryce Canyon National Park,Mammal,Neotamias umbrinus,Uinta Chipmunk,,
Bryce Canyon National Park,Mammal,Spermophilus lateralis,Golden-Mantled Ground Squirrel,,
Bryce Canyon National Park,Mammal,Spermophilus variegatus,Rock Squirrel,,
Bryce Canyon National Park,Mammal,Tamiasciurus hudsonicus,Red Squirrel,,
Bryce Canyon National Park,Mammal,Notiosorex crawfordi,Crawford'S Desert Shrew,,
Bryce Canyon National Park,Mammal,Sorex cinereus,Masked Shrew,,
Bryce Canyon National Park,Mammal,Sorex merriami,Merriam'S Shrew,,
Bryce Canyon National Park,Mammal,Sorex monticolus,Montane Shrew,,
Bryce Canyon National Park,Mammal,Sorex nanus,Dwarf Shrew,,
Bryce Canyon National Park,Mammal,Sorex palustris,American Water Shrew,,
Bryce Canyon National Park,Bird,Accipiter cooperii,Cooper'S Hawk,,SC
Bryce Canyon National Park,Bird,Accipiter striatus,Sharp-Shinned Hawk,,SC
Bryce Canyon National Park,Bird,Aquila chrysaetos,Golden Eagle,,SC
Bryce Canyon National Park,Bird,Buteo jamaicensis,Red-Tailed Hawk,,
Bryce Canyon National Park,Bird,Buteo lagopus,Rough-Legged Hawk,,SC
Bryce Canyon National Park,Bird,Circus cyaneus,Northern Harrier,,SC
Bryce Canyon National Park,Bird,Haliaeetus leucocephalus,Bald Eagle,,DM
Bryce Canyon National Park,Bird,Cathartes aura,Turkey Vulture,,SC
Bryce Canyon National Park,Bird,Pandion haliaetus,Osprey,,SC
Bryce Canyon National Park,Bird,Anas acuta,Northern Pintail,,
Bryce Canyon National Park,Bird,Anas americana,American Wigeon,,
Bryce Canyon National Park,Bird,Anas clypeata,Northern Shoveler,,
Bryce Canyon National Park,Bird,Anas cyanoptera,Cinnamon Teal,,
Bryce Canyon National Park,Bird,Anas discors,Blue-Winged Teal,,
Bryce Canyon National Park,Bird,Anas strepera,Gadwall,,
Bryce Canyon National Park,Bird,Aythya affinis,Lesser Scaup,,SC
Bryce Canyon National Park,Bird,Aythya americana,Redhead,,
Bryce Canyon National Park,Bird,Aythya collaris,Ring-Necked Duck,,
Bryce Canyon National Park,Bird,Bucephala albeola,Bufflehead,,
Bryce Canyon National Park,Bird,Bucephala clangula,Common Goldeneye,,
Bryce Canyon National Park,Bird,Chen caerulescens,Snow Goose,,
Bryce Canyon National Park,Bird,Cygnus columbianus,Tundra Swan,,
Bryce Canyon National Park,Bird,Mergus merganser,Common Merganser,,
